Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
16/10/2008,0:00,2191,954,1237,,,,1343,748,595,2410,1290,1120,,,,,,,,,,,,,,,
17/10/2008,0:00,2624,1067,1557,,,,1497,813,684,2524,1360,1164,,,,,,,,,,,,,,,
18/10/2008,0:00,1352,520,832,,,,840,444,396,1335,728,607,,,,,,,,,,,,,,,
19/10/2008,0:00,1282,494,788,,,,757,395,362,897,492,405,,,,,,,,,,,,,,,
20/10/2008,0:00,2164,796,1368,,,,1254,703,551,1988,1070,918,,,,,,,,,,,,,,,
21/10/2008,0:00,857,379,478,,,,523,290,233,872,469,403,,,,,,,,,,,,,,,
22/10/2008,0:00,1580,617,963,,,,957,522,435,1503,796,707,,,,,,,,,,,,,,,
23/10/2008,0:00,2121,795,1326,,,,1301,723,578,2467,1337,1130,,,,,,,,,,,,,,,
24/10/2008,0:00,2256,893,1363,,,,1290,700,590,2530,1378,1152,,,,,,,,,,,,,,,
25/10/2008,0:00,381,171,210,,,,236,125,111,278,152,126,,,,,,,,,,,,,,,
26/10/2008,0:00,1316,535,781,,,,769,401,368,1202,659,543,,,,,,,,,,,,,,,
27/10/2008,0:00,1933,794,1139,,,,1121,628,493,1862,1013,849,,,,,,,,,,,,,,,
28/10/2008,0:00,1198,493,705,,,,729,403,326,1271,695,576,,,,,,,,,,,,,,,
29/10/2008,0:00,1045,418,627,,,,630,342,288,1168,623,545,,,,,,,,,,,,,,,
30/10/2008,0:00,1547,604,943,,,,949,528,421,1400,747,653,,,,,,,,,,,,,,,
31/10/2008,0:00,1585,591,994,,,,903,490,413,1715,917,798,,,,,,,,,,,,,,,
01/11/2008,0:00,877,346,531,,,,519,272,247,624,344,280,,,,,,,,,,,,,,,
02/11/2008,0:00,769,290,479,,,,423,219,204,635,349,286,,,,,,,,,,,,,,,
03/11/2008,0:00,1435,512,923,,,,846,466,380,1544,833,711,,,,,,,,,,,,,,,
04/11/2008,0:00,2396,879,1517,,,,1404,759,645,2648,1430,1218,,,,,,,,,,,,,,,
05/11/2008,0:00,2640,1027,1613,,,,1568,833,735,3353,1794,1559,,,,,,,,,,,,,,,
06/11/2008,0:00,2648,993,1655,,,,1578,881,697,2684,1462,1222,,,,,,,,,,,,,,,
07/11/2008,0:00,1749,692,1057,,,,1105,610,495,2310,1236,1074,,,,,,,,,,,,,,,
08/11/2008,0:00,468,183,285,,,,276,146,130,340,185,155,,,,,,,,,,,,,,,
09/11/2008,0:00,707,320,387,,,,384,197,187,587,321,266,,,,,,,,,,,,,,,
10/11/2008,0:00,1507,612,895,,,,889,488,401,1735,934,801,,,,,,,,,,,,,,,
11/11/2008,0:00,1583,597,986,,,,932,505,427,2017,1082,935,,,,,,,,,,,,,,,
12/11/2008,0:00,1589,574,1015,,,,947,503,444,1763,945,818,,,,,,,,,,,,,,,
13/11/2008,0:00,1173,452,721,,,,699,390,309,1212,649,563,,,,,,,,,,,,,,,
14/11/2008,0:00,1758,722,1036,,,,1107,611,496,1495,794,701,,,,,,,,,,,,,,,
15/11/2008,0:00,305,160,145,,,,178,93,85,301,164,137,,,,,,,,,,,,,,,
16/11/2008,0:00,455,201,254,,,,245,126,119,427,234,193,,,,,,,,,,,,,,,
17/11/2008,0:00,1241,480,761,,,,730,402,328,1616,869,747,,,,,,,,,,,,,,,
18/11/2008,0:00,1223,456,767,,,,720,388,332,1458,781,677,,,,,,,,,,,,,,,
19/11/2008,0:00,1072,356,716,,,,634,336,298,1209,639,570,,,,,,,,,,,,,,,
20/11/2008,0:00,1062,335,727,,,,630,351,279,1118,604,514,,,,,,,,,,,,,,,
21/11/2008,0:00,871,234,637,,,,547,304,243,980,529,451,,,,,,,,,,,,,,,
22/11/2008,0:00,446,194,252,,,,265,139,126,378,208,170,,,,,,,,,,,,,,,
23/11/2008,0:00,371,158,213,,,,205,106,99,410,225,185,,,,,,,,,,,,,,,
24/11/2008,0:00,1133,532,601,,,,669,368,301,1106,595,511,,,,,,,,,,,,,,,
25/11/2008,0:00,514,262,252,,,,299,162,137,515,275,240,,,,,,,,,,,,,,,
26/11/2008,0:00,777,319,458,,,,460,243,217,815,437,378,,,,,,,,,,,,,,,
27/11/2008,0:00,742,290,452,,,,440,245,195,799,429,370,,,,,,,,,,,,,,,
28/11/2008,0:00,591,244,347,,,,370,205,165,553,300,253,,,,,,,,,,,,,,,
29/11/2008,0:00,458,165,293,,,,270,142,128,326,182,144,,,,,,,,,,,,,,,
30/11/2008,0:00,452,169,283,,,,245,126,119,434,237,197,,,,,,,,,,,,,,,
01/12/2008,0:00,399,170,229,,,,257,145,112,485,261,224,,,,,,,,,,,,,,,
02/12/2008,0:00,760,316,444,,,,378,206,172,1073,576,497,,,,,,,,,,,,,,,
03/12/2008,0:00,861,349,512,,,,496,261,235,1069,576,493,,,,,,,,,,,,,,,
04/12/2008,0:00,622,282,340,,,,415,219,196,848,457,391,,,,,,,,,,,,,,,
