week,long-term counter,estimate,actual,error
38,Parc2014,966.693920215,1556.23113208,-589.53721186
38,Maisonneuve_12014,1027.76711128,1556.23113208,-528.464020792
39,Maisonneuve_22014,1413.5879262,1556.23113208,-142.643205877
39,Berri12014,1388.37158141,1556.23113208,-167.859550665
39,CSC2014,1406.18183078,1556.23113208,-150.049301298
39,Totem_Laurier2014,1266.57277004,1556.23113208,-289.658362031
39,Parc2014,1340.16424845,1556.23113208,-216.066883629
39,Maisonneuve_12014,1445.42835093,1556.23113208,-110.802781143
40,Maisonneuve_22014,984.903842091,1556.23113208,-571.327289984
40,Berri12014,1102.21284642,1556.23113208,-454.018285652
40,CSC2014,884.582745448,1556.23113208,-671.648386628
40,Totem_Laurier2014,865.581028983,1556.23113208,-690.650103093
40,Parc2014,891.874329129,1556.23113208,-664.356802947
40,Maisonneuve_12014,1008.92393137,1556.23113208,-547.307200701
41,Maisonneuve_22014,1004.73937752,1556.23113208,-551.491754557
41,Berri12014,1073.47130498,1556.23113208,-482.759827098
41,CSC2014,989.519251951,1556.23113208,-566.711880125
41,Totem_Laurier2014,866.297111767,1556.23113208,-689.934020309
41,Parc2014,996.465051971,1556.23113208,-559.766080104
41,Maisonneuve_12014,1010.60765978,1556.23113208,-545.623472295
42,Maisonneuve_22014,1067.66685105,1556.23113208,-488.564281028
42,Berri12014,1132.94748582,1556.23113208,-423.283646253
42,CSC2014,1041.2313137,1556.23113208,-514.999818374
42,Totem_Laurier2014,846.07373479,1556.23113208,-710.157397285
42,Parc2014,967.050982997,1556.23113208,-589.180149079
42,Maisonneuve_12014,1110.79722704,1556.23113208,-445.433905031
43,Maisonneuve_22014,709.30705823,1556.23113208,-846.924073845
43,Berri12014,803.373644152,1556.23113208,-752.857487923
43,CSC2014,733.155832248,1556.23113208,-823.075299827
43,Totem_Laurier2014,567.358254294,1556.23113208,-988.872877781
43,Parc2014,608.591606564,1556.23113208,-947.639525511
43,Maisonneuve_12014,729.336037837,1556.23113208,-826.895094239
44,Maisonneuve_22014,638.823679298,1556.23113208,-917.407452777
44,Berri12014,535.646524506,1556.23113208,-1020.58460757
44,CSC2014,416.133832008,1556.23113208,-1140.09730007
44,Totem_Laurier2014,448.738974912,1556.23113208,-1107.49215716
44,Parc2014,387.904211957,1556.23113208,-1168.32692012
44,Maisonneuve_12014,614.89792516,1556.23113208,-941.333206916
